text,lang
Hello world,en
This is a test,en
How are you?,en
Good morning,en
I love programming,en
Bonjour,fr
Comment ça va?,fr
Je t'aime,fr
Bonne nuit,fr
Merci beaucoup,fr
Hola,es
¿Cómo estás?,es
Te quiero,es
Buenos días,es
Gracias,es
Hallo,de
Wie geht's?,de
Guten Morgen,de
Ich liebe Programmieren,de
Danke,de
Ciao,it
Come stai?,it
Buongiorno,it
Ti amo,it
Grazie,it
Olá,pt
Como você está?,pt
Bom dia,pt
Te amo,pt
Obrigado,pt
Hej,sv
Hur mår du?,sv
God morgon,sv
Jag älskar programmering,sv
Tack,sv
Hallo,nl
Hoe gaat het?,nl
Goedemorgen,nl
Ik hou van programmeren,nl
Dank je,nl
你好,zh
您好,zh
早上好,zh
こんにちは,ja
お元気ですか？,ja
ありがとう,ja
안녕하세요,ko
좋은 아침이에요,ko
감사합니다,ko
नमस्ते,hi
कैसे हो?,hi
धन्यवाद,hi
হ্যালো,bn
আপনি কেমন আছেন?,bn
ধন্যবাদ,bn
ہیلو,ur
آپ کیسے ہیں؟,ur
شکریہ,ur
مرحبا,ar
كيف حالك؟,ar
شكرا,ar
سلام,fa
خوبی؟,fa
متشکرم,fa
merhaba,tr
Nasılsın?,tr
Teşekkürler,tr
สวัสดี,th
คุณเป็นอย่างไรบ้าง?,th
ขอบคุณ,th
xin chào,vi
Bạn khỏe không?,vi
cảm ơn,vi
Halo,id
Apa kabar?,id
Terima kasih,id
Halo,ms
Apa khabar?,ms
Terima kasih,ms
नमस्कार,ne
तपाईलाई कस्तो छ?,ne
धन्यवाद,ne
හෙලෝ,si
කොහොමද?,si
ස්තුතියි,si
வணக்கம்,ta
நீங்கள் எப்படி இருக்கிறீர்கள்?,ta
நன்றி,ta
హలో,te
మీరు ఎలా ఉన్నారు?,te
ధన్యవాదాలు,te
ಹಲೋ,kn
ನೀವು ಹೇಗಿದ್ದೀರಾ?,kn
ಧನ್ಯವಾದಗಳು,kn
ഹലോ,ml
സുഖമാണോ?,ml
നന്ദി,ml
ਸਤ ਸ੍ਰੀ ਅਕਾਲ,pa
ਤੁਹਾਡਾ ਕੀ ਹਾਲ ਹੈ?,pa
ਧੰਨਵਾਦ,pa
ਸਤ ਸ੍ਰੀ ਅਕਾਲ,gu
કેમ છો?,gu
આભાર,gu
नमस्कार,mr
तुम्ही कसे आहात?,mr
धन्यवाद,mr
ສະບາຍດີ,lo
ສະບາຍດີທ່ານ?,lo
ຂອບໃຈ,lo
ជំរាបសួរ,km
តើអ្នកសុខសប្បាយរបស់កុមារ?,km
អរគុណ,km
မင်္ဂလာပါ,my
နေကောင်းလား?,my
ကျေးဇူးတင်ပါတယ်,my
Сайн байна уу,mn
Та сайн байна уу?,mn
Баярлалаа,mn
Salam,az
Necəsən?,az
Təşəkkür edirəm,az
שלום,he
מה שלומך?,he
תודה,he
ॐ नमः शिवाय,sa
শুভেচ্ছা,as
বন্দে মাতরম,bn
बोडो सागो,brx
डोगरी वाक्य,doi
આભાર,gu
कश्मीरी वाक्य,ks
कोंकणी वाक्य,kok
मैथिली वाक्य,mai
ꯃꯤꯇꯩꯂꯣꯟ,mni
संताली वाक्य,sat
सिन्धी वाक्य,sd
ଓଡ଼ିଆ ଜଣା,or
